STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,5-3-1930,,,0,0,0,,13.9,1.7
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,6-3-1930,,,41.1,0,0,,12.2,8.3
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,7-3-1930,,,27.2,0,0,,18.3,7.8
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,8-3-1930,,,0,0,0,,11.1,3.9
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,9-3-1930,,,0,0,0,,13.3,1.1
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,10-3-1930,,,0,0,0,,17.8,7.2
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,11-3-1930,,,5.3,0,0,,15,6.1
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,12-3-1930,,,0,0,0,,14.4,2.8
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,13-3-1930,,,0,0,0,,20,8.3
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,14-3-1930,,,0,0,0,,17.2,12.2
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,15-3-1930,,,0,0,0,,13.9,8.9
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,16-3-1930,,,0,0,0,,20,8.3
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,17-3-1930,,,4.6,0,0,,18.9,12.8
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,18-3-1930,,,10.9,0,0,,19.4,15
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,19-3-1930,,,14,0,0,,15.6,3.9
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,20-3-1930,,,0,0,0,,16.1,1.7
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,21-3-1930,,,0,0,0,,21.1,8.9
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,22-3-1930,,,0,0,0,,14.4,7.2
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,23-3-1930,,,0,0,0,,13.3,5
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,24-3-1930,,,1,0,0,,18.3,8.3
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,25-3-1930,,,4.3,0,0,,11.1,3.3
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,26-3-1930,,,0,0,,,7.8,1.1
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,27-3-1930,,,0,0,0,,11.1,1.7
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,28-3-1930,,,0,0,0,,8.9,5
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,29-3-1930,,,0,0,0,,11.7,2.8
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,30-3-1930,,,0,0,0,,12.8,3.9
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,31-3-1930,,,0,0,0,,16.7,5
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,1-4-1930,,,0,0,0,,19.4,8.9
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,2-4-1930,,,0.5,0,0,,17.8,11.1
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,3-4-1930,,,16.5,0,0,,21.1,13.3
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,4-4-1930,,,0,0,0,,20,10
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,5-4-1930,,,13.7,0,0,,16.7,11.7
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,6-4-1930,,,1,0,0,,18.9,9.4
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,7-4-1930,,,0,0,0,,23.9,10.6
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,8-4-1930,,,0,0,0,,17.2,6.7
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,9-4-1930,,,0,0,0,,21.7,6.1
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,10-4-1930,,,0,0,0,,25.6,15
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,11-4-1930,,,0,0,0,,27.2,15
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,12-4-1930,,,0,0,0,,29.4,17.2
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,13-4-1930,,,0,0,0,,28.3,17.8
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,14-4-1930,,,0,0,0,,27.2,16.1
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,15-4-1930,,,0,0,0,,27.8,16.7
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,16-4-1930,,,0,0,0,,26.7,16.1
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,17-4-1930,,,0.8,0,0,,26.1,16.7
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,18-4-1930,,,3,0,0,,19.4,14.4
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,19-4-1930,,,0,0,0,,21.1,11.1
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,20-4-1930,,,0,0,0,,22.2,10
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,21-4-1930,,,0,0,0,,25.6,12.8
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,22-4-1930,,,0,0,0,,25,10.6
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,23-4-1930,,,0,0,0,,22.2,9.4
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,24-4-1930,,,0,0,0,,16.7,6.7
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,25-4-1930,,,0,0,0,,18.9,7.2
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,26-4-1930,,,0,0,0,,20.6,7.8
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,27-4-1930,,,0,0,0,,20,10.6
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,28-4-1930,,,0,0,0,,26.1,15
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,29-4-1930,,,0,0,0,,25.6,15.6
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,30-4-1930,,,0,0,0,,25,15.6
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,1-5-1930,,,0,0,0,,26.7,16.1
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,2-5-1930,,,0,0,0,,27.8,17.2
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,3-5-1930,,,14,0,0,,29.4,16.7
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,4-5-1930,,,0,0,0,,29.4,16.1
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,5-5-1930,,,0,0,0,,31.1,17.2
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,6-5-1930,,,0,0,0,,30,19.4
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,7-5-1930,,,0,0,0,,26.7,18.3
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,8-5-1930,,,0.8,0,0,,28.3,18.9
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,9-5-1930,,,5.8,0,0,,22.8,17.8
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,10-5-1930,,,0,0,0,,26.1,19.4
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,11-5-1930,,,3.6,0,0,,26.1,19.4
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,12-5-1930,,,13.5,0,0,,26.7,16.7
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,13-5-1930,,,12.7,0,0,,23.9,15.6
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,14-5-1930,,,22.6,0,0,,23.9,16.1
